fiscal_year,aag,total,program,appn_account,file,page,aargmer,acv_fov,ah64e_remanufacture,aim9x_block_ii,an_spy6v1,an_spy6v2,an_spy6v3,an_spy6v4,ampv,b52j,b52_rmp,booker,cec,ch47f_block_ii__materiel_availability,ch53k,circm,cvn_78,emals,ddg51,e2d_ahe,epf,esb,f15_epawss,f15_ex,f35a,f35c,f35b,f35_engine,ffg62,gator,gmlrs_aw,gps_iiif,hh60w,hms_radios,iamd,icbm_fuze_mod,idecm_block_4,f_a18e_f_irst,improved_turbine_engine,jagm,jassm_er,jltv,kc130j,kc46,lcs_mm,gbsd,lha,lpd_17,new_element,,mids,mk21a_rv,mq25,mq4c_triton_increment_1,mq4c_triton_increment_2,ngj_low_band,ngj_midband,nssl,lrasm,pac3_mse,pim,prsm,sdb_ii,sm6,ssbn_826,ssc,ssn_774_q1_fy21,apt,tagos_25,tao_205_class,nav_comm_upgrade_kits,mst_kits,vc25b,wsf
2016,,,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,1,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,1,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,17,Advanced Anti-Radiation Guided Missile - Extended Range,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,35,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,15,Advanced Anti-Radiation Guided Missile - Extended Range,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,35,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,2,Advanced Anti-Radiation Guided Missile - Extended Range,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,"2,080",Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,"2,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,16,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,54,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,84,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,79,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,151,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,164,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,,153,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,,143,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,,144,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,,147,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,148,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,,149,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,,150,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,,151,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,,151,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,,145,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,,51,Advanced Anti-Radiation Guided Missile - Extended Range,"1507N - Weapons Procurement, Navy",sar_pdfs\AARGM-ER MSAR Dec 2023.pdf,36,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,45,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,32,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,4,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,3,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,3,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,3,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,,Amphibious Combat Vehicle Family of Vehicles,"1319N - Research, Development, Test & Eval, Navy",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,588,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,26,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,30,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,56,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,72,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,83,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,76,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,,80,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,,80,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,,85,Amphibious Combat Vehicle Family of Vehicles,"1109N - Procurement, Marine Corps",sar_pdfs\ACV FoV MSAR Dec 2023.pdf,40,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,5,AH-64E Apache Remanufacture,"2040A - Research, Development, Test & Eval, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,46,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,AH-64E Apache Remanufacture,"2040A - Research, Development, Test & Eval, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,5,AH-64E Apache Remanufacture,"2040A - Research, Development, Test & Eval, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,46,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,617,AH-64E Apache Remanufacture,"2031A - Aircraft Procurement, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,47,,,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undistributed,,,AH-64E Apache Remanufacture,"2031A - Aircraft Procurement, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,AH-64E Apache Remanufacture,"2031A - Aircraft Procurement, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,8,AH-64E Apache Remanufacture,"2031A - Aircraft Procurement, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,47,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,16,AH-64E Apache Remanufacture,"2031A - Aircraft Procurement, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,47,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,27,AH-64E Apache Remanufacture,"2031A - Aircraft Procurement, Army",sar_pdfs\AH-64E_Remanufacture_MSAR_Dec_2023.pdf,47,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
