fiscal_year,other_unallocated,total_ty_dol_m,weighted_rate,program,appn_account,file,page,total_cy,base_year,end_item_recurring_flyaway,10_unit_level_manpower,30_maintenance,40_sustaining_support,50_continuing_system_improvements,nonend_item_recurring_flyaway,non_recurring_flyaway,initial_spares,20_unit_operations,depot_activation,other,10_unitlevel_manpower,nonend_end_item_item_non_recurring_recurring_recurring_depot_flyaway_flyaway_flyaway_initial_spares_activation,nonrecurring_flyaway,other_indirect_costs
2010,,36.3,0.906310,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,40.1,2017.0,36.320,,,,,,,,,,,,,,
2011,,44.2,0.936042,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,47.3,2017.0,44.230,,,,,,,,,,,,,,
2012,,20.3,0.957515,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,21.2,2017.0,20.260,,,,,,,,,,,,,,
2013,,6.5,0.977541,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,6.7,2017.0,6.520,,,,,,,,,,,,,,
2014,,15.7,0.997336,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,15.7,2017.0,15.690,,,,,,,,,,,,,,
2015,,55.4,1.020322,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,54.3,2017.0,55.380,,,,,,,,,,,,,,
2016,,51.5,1.046414,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,49.2,2017.0,51.470,,,,,,,,,,,,,,
2017,,81.8,1.076431,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,76.0,2017.0,81.800,,,,,,,,,,,,,,
2018,,95.8,1.111495,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,86.2,2017.0,95.800,,,,,,,,,,,,,,
2019,,99.4,1.152852,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,86.2,2017.0,99.390,,,,,,,,,,,,,,
2020,,46.9,1.200357,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,39.1,2017.0,46.900,,,,,,,,,,,,,,
2021,,38.6,1.248889,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,30.9,2017.0,38.550,,,,,,,,,,,,,,
2022,,27.6,1.292497,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,21.3,2017.0,27.570,,,,,,,,,,,,,,
2023,,121.4,1.322912,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,91.7,2017.0,121.360,,,,,,,,,,,,,,
2024,,101.4,1.351292,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,75.0,2017.0,101.380,,,,,,,,,,,,,,
2025,,135.5,1.379719,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,98.2,2017.0,135.470,,,,,,,,,,,,,,
2026,,93.3,1.408693,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,66.2,2017.0,93.300,,,,,,,,,,,,,,
2027,,97.0,1.438276,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,67.4,2017.0,96.980,,,,,,,,,,,,,,
2028,,162.2,1.468480,Advanced Arresting Gear,"1611N (BLS Hist) - Shipbuilding and Conversion, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,42,110.4,2017.0,162.170,,,,,,,,,,,,,,
Total,15.4,15.4,,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,16.9,2017.0,,,,,,,,,,,,,,,
2003,,,0.798714,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,,2017.0,,,,,,,,,,,,,,,
2004,,,0.819628,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,,2017.0,,,,,,,,,,,,,,,
2005,,,0.842891,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,,2017.0,,,,,,,,,,,,,,,
2006,,,0.865753,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,,2017.0,,,,,,,,,,,,,,,
2007,,,0.883359,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,,2017.0,,,,,,,,,,,,,,,
2008,,,0.898414,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,,2017.0,,,,,,,,,,,,,,,
2009,15.400,15.4,0.910724,Advanced Arresting Gear,"1205N - Military Construction, Navy",sar_pdfs\AAG MSAR Dec 2023.pdf,43,16.9,2017.0,,,,,,,,,,,,,,,
Total,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,"3,083.6",2017.0,,889.2,824.6,646.0,723.7,,,,,,,,,,
2017,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,2.9,2017.0,,,,2.895,,,,,,,,,,,
2018,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,7.6,2017.0,,4.468,1.476,1.684,,,,,,,,,,,
2019,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,11.2,2017.0,,4.468,1.476,5.252,,,,,,,,,,,
2020,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,13.7,2017.0,,4.468,1.476,7.765,,,,,,,,,,,
2021,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,25.8,2017.0,,4.468,4.185,8.906,8.276,,,,,,,,,,
2022,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,22.7,2017.0,,4.468,4.185,8.794,5.288,,,,,,,,,,
2023,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,23.6,2017.0,,4.468,4.185,9.795,5.189,,,,,,,,,,
2024,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,28.0,2017.0,,4.468,4.185,9.603,9.737,,,,,,,,,,
2025,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,38.7,2017.0,,8.937,8.369,10.377,11.003,,,,,,,,,,
2026,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,38.1,2017.0,,8.937,8.369,9.862,10.904,,,,,,,,,,
2027,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,38.1,2017.0,,8.937,8.369,9.862,10.904,,,,,,,,,,
2028,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,38.2,2017.0,,8.937,8.369,9.862,11.003,,,,,,,,,,
2029,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,38.2,2017.0,,8.937,8.369,9.862,11.065,,,,,,,,,,
2030,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,48.6,2017.0,,13.405,12.554,10.381,12.232,,,,,,,,,,
2031,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,48.2,2017.0,,13.405,12.554,9.866,12.331,,,,,,,,,,
2032,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,48.1,2017.0,,13.405,12.554,9.866,12.232,,,,,,,,,,
2033,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2034,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.6,2017.0,,17.873,16.739,10.187,13.820,,,,,,,,,,
2035,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.9,2017.0,,17.873,16.739,10.702,13.559,,,,,,,,,,
2036,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2037,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.5,2017.0,,17.873,16.739,10.187,13.659,,,,,,,,,,
2038,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2039,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.5,2017.0,,17.873,16.739,10.187,13.721,,,,,,,,,,
2040,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,59.0,2017.0,,17.873,16.739,10.702,13.659,,,,,,,,,,
2041,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2042,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2043,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.5,2017.0,,17.873,16.739,10.187,13.659,,,,,,,,,,
2044,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.5,2017.0,,17.873,16.739,10.187,13.721,,,,,,,,,,
2045,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.9,2017.0,,17.873,16.739,10.702,13.559,,,,,,,,,,
2046,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.5,2017.0,,17.873,16.739,10.187,13.659,,,,,,,,,,
2047,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2048,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2049,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,48,58.6,2017.0,,17.873,16.739,10.187,13.820,,,,,,,,,,
2050,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.9,2017.0,,17.873,16.739,10.702,13.559,,,,,,,,,,
2051,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2052,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.5,2017.0,,17.873,16.739,10.187,13.659,,,,,,,,,,
2053,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2054,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.5,2017.0,,17.873,16.739,10.187,13.721,,,,,,,,,,
2055,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,59.0,2017.0,,17.873,16.739,10.702,13.659,,,,,,,,,,
2056,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2057,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.4,2017.0,,17.873,16.739,10.187,13.559,,,,,,,,,,
2058,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.5,2017.0,,17.873,16.739,10.187,13.659,,,,,,,,,,
2059,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.5,2017.0,,17.873,16.739,10.187,13.721,,,,,,,,,,
2060,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.9,2017.0,,17.873,16.739,10.702,13.559,,,,,,,,,,
2061,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,58.5,2017.0,,17.873,16.739,10.187,13.659,,,,,,,,,,
2062,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,57.0,2017.0,,17.873,16.739,10.187,12.232,,,,,,,,,,
2063,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,57.0,2017.0,,17.873,16.739,10.187,12.232,,,,,,,,,,
2064,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,57.3,2017.0,,17.873,16.739,10.187,12.492,,,,,,,,,,
2065,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,57.5,2017.0,,17.873,16.739,10.702,12.232,,,,,,,,,,
2066,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,57.0,2017.0,,17.873,16.739,10.187,12.232,,,,,,,,,,
2067,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,48.4,2017.0,,13.405,12.554,10.095,12.331,,,,,,,,,,
2068,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,48.3,2017.0,,13.405,12.554,10.095,12.232,,,,,,,,,,
2069,,,,System: AAG,Operating and Support Cost Elements,sar_pdfs\AAG MSAR Dec 2023.pdf,49,48.4,2017.0,,13.405,12.554,10.095,12.393,,,,,,,,,,
